CS14_ENG_001_00	per:holds_shares_in	LDC	bolt-eng-DF-170-181113-84603:83990-84106	Global Crossing	bolt-eng-DF-170-181113-84603:11752-11766	1.0
CS14_ENG_067_01	per:employee_or_member_of	LDC	AFP_ENG_20090917.0776:182-286	Peter, Paul and Mary	AFP_ENG_20090917.0776:74-93	1.0
CS14_ENG_068_00	per:statesorprovinces_of_residence	LDC	WPB_ENG_20101010.0005:2410-2543	Maine	WPB_ENG_20101010.0005:2453-2457	1.0
CS14_ENG_068_01	gpe:births_in_stateorprovince	LDC	LTW_ENG_20091014.0104:4809-4893	Henry Wadsworth Longfellow	LTW_ENG_20091014.0104:4868-4893	1.0
CS14_ENG_068_01	gpe:births_in_stateorprovince	LDC	APW_ENG_20101004.0334:801-867,APW_ENG_20101004.0334:131-145	Patrick Dempsey	APW_ENG_20101004.0334:292-306	1.0
CS14_ENG_069_00	org:students	LDC	NYT_ENG_20090803.0003:2365-2410	John William Kiermaier	NYT_ENG_20090803.0003:2198-2219	1.0
CS14_ENG_069_01	per:date_of_birth	LDC	NYT_ENG_20090803.0003:2198-2264	1922-06-28	NYT_ENG_20090803.0003:2252-2264	1.0
CS14_ENG_069_00	org:students	LDC	NYT_ENG_20090805.0172:909-1050,NYT_ENG_20090805.0172:1052-1059	Joshua Arjuna Stephens	NYT_ENG_20090805.0172:944-965	1.0
CS14_ENG_069_00	org:students	LDC	eng-NG-31-126958-8238526:1458-1502	Bruce Wolmer	eng-NG-31-126958-8238526:158-169	1.0
CS14_ENG_069_00	org:students	LDC	APW_ENG_20090609.1298:196-303,APW_ENG_20090609.1298:464-545	Johanna Justin-Jinich	APW_ENG_20090609.1298:501-521	1.0
CS14_ENG_069_00	org:students	LDC	XIN_ENG_20100225.0426:522-591	Stephen M. Young	XIN_ENG_20100225.0426:195-210	1.0
CS14_ENG_069_00	org:students	LDC	WPB_ENG_20100723.0021:1207-1257	DIANA FARRELL	WPB_ENG_20100723.0021:1122-1134	1.0
CS14_ENG_069_00	org:students	LDC	LTW_ENG_20090715.0060:4431-4504	Toby Emmerich	LTW_ENG_20090715.0060:2848-2860	1.0
CS14_ENG_069_00	org:students	LDC	LTW_ENG_20090715.0060:4431-4504	Michael Bay	LTW_ENG_20090715.0060:1651-1661	1.0
CS14_ENG_069_00	org:students	LDC	eng-NG-31-140204-9887279:347-421	Jeremy Brown	eng-NG-31-140204-9887279:347-358	1.0
CS14_ENG_069_00	org:students	LDC	eng-NG-31-140204-9887283:325-421	Matt Lesser	eng-NG-31-140204-9887283:215-225	1.0
CS14_ENG_069_00	org:students	LDC	NYT_ENG_20101208.0002:4473-4587	Emily Brown	NYT_ENG_20101208.0002:4473-4483	1.0
CS14_ENG_069_00	org:students	LDC	NYT_ENG_20091024.0022:1778-1896	Lin-Manuel Miranda	NYT_ENG_20091024.0022:851-868	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	WPB_ENG_20100518.0048:4559-4692	Timpanogos Regional Hospital	WPB_ENG_20100518.0048:4657-4684	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	WPB_ENG_20100518.0046:4528-4653	Mike Kennedy	WPB_ENG_20100518.0046:4532-4543	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:667-686,NYT_ENG_20101224.0030:1095-1183	Largo Medical Center	NYT_ENG_20101224.0030:667-686	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20101224.0030:1362-1416	Julie Scott	NYT_ENG_20101224.0030:1362-1372	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:689-725,NYT_ENG_20101224.0030:1095-1183	Community Hospital	NYT_ENG_20101224.0030:689-706	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:731-762,NYT_ENG_20101224.0030:1095-1183	Oak Hill Hospital	NYT_ENG_20101224.0030:731-747	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20101224.0030:3953-3986	Dee Dee Marsh	NYT_ENG_20101224.0030:3953-3965	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:979-1012,NYT_ENG_20101224.0030:1095-1183	Fawcett Memorial	NYT_ENG_20101224.0030:979-994	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20100808.0061:8369-8441	John Schilling	NYT_ENG_20100808.0061:8369-8382	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:1015-1049,NYT_ENG_20101224.0030:1095-1183	Central Florida Regional	NYT_ENG_20101224.0030:1015-1038	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20101224.0030:1055-1083,NYT_ENG_20101224.0030:1095-1183	Osceola Regional	NYT_ENG_20101224.0030:1055-1070	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20100827.0176:5926-6004	Brandon Regional	NYT_ENG_20100827.0176:1283-1298	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20100827.0176:5926-6053	St. Petersburg General	NYT_ENG_20100827.0176:6032-6053	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20100808.0061:7315-7374,NYT_ENG_20100808.0061:6882-6989	Bayonet Point Medical Center	NYT_ENG_20100808.0061:7315-7342	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20100808.0061:7222-7369,NYT_ENG_20100808.0061:196-199	Alan Levine	NYT_ENG_20100808.0061:7222-7232	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20091204.0188:3571-3640	HCA East Florida	NYT_ENG_20091204.0188:3614-3631	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20091204.0188:3814-3904	HCA West Florida	NYT_ENG_20091204.0188:3823-3838	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20101224.0030:1958-2016	Debra McKell	NYT_ENG_20101224.0030:1958-1969	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20091204.0188:5766-5806,NYT_ENG_20091204.0188:5438-5518	Northside	NYT_ENG_20091204.0188:1143-1151	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20090916.0233:3140-3287,NYT_ENG_20090916.0233:3289-3317	Natalie O'Brien	NYT_ENG_20090916.0233:3272-3286	1.0
CS14_ENG_070_01	org:employees_or_members	LDC	NYT_ENG_20091204.0188:3994-4072	Ayesha Hussein	NYT_ENG_20091204.0188:3998-4011	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20091204.0188:5859-5901,NYT_ENG_20091204.0188:5438-5518	South Bay	NYT_ENG_20091204.0188:5859-5867	1.0
CS14_ENG_070_00	org:subsidiaries	LDC	NYT_ENG_20091204.0188:5672-5715,NYT_ENG_20091204.0188:5438-5518	Edward White	NYT_ENG_20091204.0188:5672-5683	1.0
CS14_ENG_071_00	gpe:births_in_city	LDC	AFP_ENG_20100312.0428:334-443	Miguel Delibes	AFP_ENG_20100312.0428:73-86	1.0
CS14_ENG_071_01	per:date_of_death	LDC	AFP_ENG_20100312.0428:174-278,AFP_ENG_20100312.0428:122-143	2010-03-12	AFP_ENG_20100312.0428:265-270	1.0
CS14_ENG_072_00	per:parents	LDC	eng-NG-31-126958-9171816:2389-2518	Tariq Hussain	eng-NG-31-126958-9171816:1291-1303	1.0
CS14_ENG_072_01	per:date_of_death	LDC	eng-NG-31-126958-9171816:1263-1362	2007-10-14	eng-NG-31-126958-9171816:1282-1288	1.0
CS14_ENG_073_00	org:employees_or_members	LDC	APW_ENG_20090617.1424:717-805	Paul Ginsburg	APW_ENG_20090617.1424:717-729	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100225.0058:4106-4213	co-author	WPB_ENG_20100225.0058:1235-1243	1.0
CS14_ENG_073_01	per:title	LDC	APW_ENG_20090617.1424:717-805	President	APW_ENG_20090617.1424:294-302	1.0
CS14_ENG_073_01	per:title	LDC	NYT_ENG_20090704.0055:6249-6349	health economist	NYT_ENG_20090704.0055:6269-6284	1.0
CS14_ENG_073_00	org:employees_or_members	LDC	WPB_ENG_20100803.0028:1330-1478	Ha Tu	WPB_ENG_20100803.0028:1330-1334	1.0
CS14_ENG_073_00	org:employees_or_members	LDC	WPB_ENG_20100225.0058:1210-1323	Robert Berenson	WPB_ENG_20100225.0058:1210-1224	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100225.0058:1210-1258	co-author	WPB_ENG_20100225.0058:1235-1243	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100304.0028:1198-1283	physician	WPB_ENG_20100304.0028:1217-1225	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100225.0058:1210-1258	researcher	WPB_ENG_20100225.0058:1249-1258	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100820.0038:3304-3391	policy analyst	WPB_ENG_20100820.0038:3337-3350	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20100816.0025:7236-7276	economist	WPB_ENG_20100816.0025:6503-6511	1.0
CS14_ENG_073_01	per:title	LDC	WPB_ENG_20101126.0005:4128-4202	Commissioner	WPB_ENG_20101126.0005:4147-4158	1.0
CS14_ENG_073_00	org:employees_or_members	LDC	LTW_ENG_20090725.0058:6235-6319	Alwyn Cassil	LTW_ENG_20090725.0058:6235-6246	1.0
CS14_ENG_073_01	per:title	LDC	LTW_ENG_20090725.0058:6235-6319	public affairs director	LTW_ENG_20090725.0058:6249-6271	1.0
CS14_ENG_074_00	org:founded_by	LDC	eng-NG-31-131701-9416882:1478-1549	Ahmet Ertegun	eng-NG-31-131701-9416882:1516-1528	1.0
CS14_ENG_074_01	per:date_of_death	LDC	eng-NG-31-131701-9416882:1478-1549,eng-NG-31-131701-9416882:108-126	2006-XX-XX	eng-NG-31-131701-9416882:1540-1548	1.0
CS14_ENG_074_00	org:founded_by	LDC	eng-NG-31-126143-9100538:868-971	HERB ABRAMSON	eng-NG-31-126143-9100538:868-880	1.0
CS14_ENG_075_00	per:employee_or_member_of	LDC	XIN_ENG_20091012.0276:194-291	Indiana University	XIN_ENG_20091012.0276:224-241	1.0
CS14_ENG_075_01	org:students	LDC	NYT_ENG_20100903.0150:2982-3101	Allison Warren	NYT_ENG_20100903.0150:3054-3067	1.0
CS14_ENG_075_01	org:students	LDC	NYT_ENG_20090722.0063:2360-2443	Katie Myrick	NYT_ENG_20090722.0063:2360-2371	1.0
CS14_ENG_075_01	org:students	LDC	NYT_ENG_20101212.0028:6160-6304,NYT_ENG_20101212.0028:6306-6314	Christopher Soghoian	NYT_ENG_20101212.0028:6164-6183	1.0
CS14_ENG_075_01	org:students	LDC	LTW_ENG_20090722.0007:133-256	Kyle Lenz	LTW_ENG_20090722.0007:183-191	1.0
CS14_ENG_075_01	org:students	LDC	XIN_ENG_20090620.0220:3893-4001	Han Ren	XIN_ENG_20090620.0220:1798-1804	1.0
CS14_ENG_075_01	org:students	LDC	NYT_ENG_20090622.0041:2092-2165	Donald M. Fehr	NYT_ENG_20090622.0041:128-141	1.0
CS14_ENG_075_01	org:students	LDC	NYT_ENG_20090606.0006:1874-1958	Richard E. Jacobs	NYT_ENG_20090606.0006:125-141	1.0
CS14_ENG_075_01	org:students	LDC	APW_ENG_20100924.0031:4941-5035	Suzanne Collins	APW_ENG_20100924.0031:58-72	1.0
CS14_ENG_076_00	gpe:residents_of_city	LDC	eng-NG-31-126958-8238517:7802-7854	Robert Todd Williams	eng-NG-31-126958-8238517:7101-7120	1.0
CS14_ENG_076_01	per:organizations_founded	LDC	eng-NG-31-126958-8238517:7148-7226	Toad Hollow Vineyards	eng-NG-31-126958-8238517:7206-7226	1.0
CS14_ENG_076_01	per:organizations_founded	LDC	eng-NG-31-126958-8238517:8027-8120	Hillside Estates	eng-NG-31-126958-8238517:8065-8080	1.0
CS14_ENG_076_00	gpe:residents_of_city	LDC	eng-NG-31-137900-12195042:8605-8708	Arlynn Marine McMahon	eng-NG-31-137900-12195042:1500-1520	1.0
CS14_ENG_076_00	gpe:residents_of_city	LDC	NYT_ENG_20101215.0204:419-464	MacKenzie Miller	NYT_ENG_20101215.0204:58-73	1.0
CS14_ENG_077_00	gpe:residents_of_city	LDC	NYT_ENG_20101125.0103:3289-3407	Frank Johannes Fenner	NYT_ENG_20101125.0103:3289-3309	1.0
CS14_ENG_077_01	per:age	LDC	NYT_ENG_20101125.0103:58-80	95	NYT_ENG_20101125.0103:79-80	1.0
CS14_ENG_078_00	per:statesorprovinces_of_residence	LDC	APW_ENG_20100924.0031:309-456,APW_ENG_20100924.0031:458-542	Connecticut	APW_ENG_20100924.0031:531-541	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20091112.0603:727-831	United Technologies Corp.	APW_ENG_20091112.0603:727-751	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20091029.0457:1857-1959	Aetna Inc.	APW_ENG_20091029.0457:199-208	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20100102.0093:3155-3288	People's United Bank	NYT_ENG_20100102.0093:3225-3244	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20101219.0014:472-614,APW_ENG_20101219.0014:616-662,APW_ENG_20101219.0014:126-146	Giant Microbes	APW_ENG_20101219.0014:649-662	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20100920.0160:532-569	L-1 Identity Solutions, Inc.	APW_ENG_20100920.0160:393-420	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20101215.0111:836-960	Purdue Pharma	NYT_ENG_20101215.0111:535-547	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20100820.0002:670-771	NewAlliance	NYT_ENG_20100820.0002:208-218	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20101117.0232:494-640	Kayak Software Corp.	NYT_ENG_20101117.0232:125-144	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20100713.1277:586-701	XPRT Ventures	APW_ENG_20100713.1277:294-306	1.0
CS14_ENG_078_00	per:statesorprovinces_of_residence	LDC	APW_ENG_20100924.0031:4256-4330	New York	APW_ENG_20100924.0031:127-134	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	bolt-eng-DF-215-192297-6368130:10890-10956	Geneva Watch Corporation	bolt-eng-DF-215-192297-6368130:10684-10707	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	bolt-eng-DF-199-192783-6884425:1347-1414	Meetup.com	bolt-eng-DF-199-192783-6884425:1366-1375	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	XIN_ENG_20091101.0109:180-247	CIT Group	XIN_ENG_20091101.0109:66-74	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20090821.0152:523-598	Pfizer Inc	APW_ENG_20090821.0152:277-286	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	APW_ENG_20090711.0152:2591-2669,AFP_ENG_20091216.0017:602-619	Red Hawk Native American Arts Council	APW_ENG_20090711.0152:778-814	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20100316.0144:1420-1491,NYT_ENG_20100316.0144:140-151	Ithaca Police Department	NYT_ENG_20100316.0144:1424-1447	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	NYT_ENG_20100426.0040:1030-1134,XIN_ENG_20090807.0172:1461-1475	Wildlife Conservation Society	NYT_ENG_20100426.0040:384-412	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	eng-NG-31-142576-10064280:1139-1169	IBM	eng-NG-31-142576-10064280:159-161	1.0
CS14_ENG_078_01	gpe:headquarters_in_stateorprovince	LDC	eng-NG-31-140141-9886957:8751-8808	Nalgene	eng-NG-31-140141-9886957:1764-1770	1.0
CS14_ENG_079_00	org:employees_or_members	LDC	eng-NG-31-126273-9129909:1190-1337,eng-NG-31-126273-9129909:1339-1409	Robert Somers Brookings	eng-NG-31-126273-9129909:564-586	1.0
CS14_ENG_079_01	per:organizations_founded	LDC	eng-NG-31-126273-9129909:482-586	Brookings Institution	eng-NG-31-126273-9129909:178-198	1.0
CS14_ENG_079_00	org:employees_or_members	LDC	eng-NG-31-126273-9129935:2933-3074,eng-NG-31-126273-9129935:2830-2839	Bernard Baruch	eng-NG-31-126273-9129935:2933-2946	1.0
CS14_ENG_079_01	per:organizations_founded	LDC	eng-NG-31-142407-10044361:22374-22423	Baruch Brothers	eng-NG-31-142407-10044361:22409-22423	1.0
CS14_ENG_079_00	org:employees_or_members	LDC	eng-NG-31-142407-10044361:34412-34540	George R. James	eng-NG-31-142407-10044361:34412-34426	1.0
CS14_ENG_079_00	org:employees_or_members	LDC	eng-NG-31-126128-8168860:11705-11817	Sam Bush	eng-NG-31-126128-8168860:11567-11574	1.0
CS14_ENG_080_00	org:founded_by	LDC	APW_ENG_20090623.1123:388-414	Gary Kaplan	APW_ENG_20090623.1123:404-414	1.0
CS14_ENG_080_01	per:siblings	LDC	APW_ENG_20091104.1210:180-246	Neil Scott Kaplan	APW_ENG_20091104.1210:305-321	1.0
CS14_ENG_080_01	per:siblings	LDC	APW_ENG_20091104.1210:180-246	Lori Beth Kaplan-Multz	APW_ENG_20091104.1210:327-348	1.0
CS14_ENG_081_00	per:spouse	LDC	AFP_ENG_20100302.0160:517-570	HansHeinrich von Thyssen-Bornemisza	AFP_ENG_20100302.0160:535-570	1.0
CS14_ENG_081_01	per:title	LDC	AFP_ENG_20100302.0160:191-235	Baron	AFP_ENG_20100302.0160:58-62	1.0
CS14_ENG_082_00	gpe:residents_of_city	LDC	APW_ENG_20100325.0161:474-554	Lawrence Murphy	APW_ENG_20100325.0161:540-554	1.0
CS14_ENG_082_01	per:date_of_death	LDC	NYT_ENG_20100422.0117:623-646	1998-xx-xx	NYT_ENG_20100422.0117:643-646	1.0
CS14_ENG_083_00	per:spouse	LDC	APW_ENG_20100107.1225:190-336,APW_ENG_20100107.1225:105-108,APW_ENG_20100107.1225:389-535,APW_ENG_20100107.1225:537-553	Elaine Wynn	APW_ENG_20100107.1225:389-399	1.0
CS14_ENG_083_01	per:top_member_employee_of	LDC	APW_ENG_20100107.1225:564-665	Communities in Schools	APW_ENG_20100107.1225:610-631	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	APW_ENG_20101126.0742:1118-1261,APW_ENG_20101126.0742:1263-1269	Hershey Co.	APW_ENG_20101126.0742:277-287	1.0
CS14_ENG_084_01	org:website	LDC	eng-NG-31-131840-9427543:1086-1098	hersheys.com	eng-NG-31-131840-9427543:1087-1098	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	WPB_ENG_20100519.0086:3120-3220	Hersheypark	WPB_ENG_20100519.0086:57-67	1.0
CS14_ENG_084_01	org:website	LDC	WPB_ENG_20100519.0086:3603-3621	www.hersheypark.com	WPB_ENG_20100519.0086:3603-3621	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20101228.0153:1340-1364	Hershey hospital	NYT_ENG_20101228.0153:1377-1392	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100603.0047:2256-2320	Hotel Hershey	NYT_ENG_20100603.0047:2308-2320	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100603.0047:2709-2857,NYT_ENG_20100603.0047:2859-2874	Hershey Lodge	NYT_ENG_20100603.0047:2747-2759	1.0
CS14_ENG_084_01	org:website	LDC	LTW_ENG_20090930.0004:3649-3668	www.hersheylodge.com	LTW_ENG_20090930.0004:3649-3668	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100603.0047:2709-2857,NYT_ENG_20100603.0047:2859-2874	Hershey Highmeadow Campground	NYT_ENG_20100603.0047:2783-2811	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100603.0047:3760-3823	Hershey Story	NYT_ENG_20100603.0047:3700-3712	1.0
CS14_ENG_084_00	gpe:headquarters_in_city	LDC	NYT_ENG_20100603.0047:3967-4076	Milton Hershey School	NYT_ENG_20100603.0047:4004-4024	1.0
CS14_ENG_085_00	org:subsidiaries	LDC	WPB_ENG_20100804.0014:2737-2842	Northern Bank	WPB_ENG_20100804.0014:2787-2799	1.0
CS14_ENG_085_01	org:city_of_headquarters	LDC	WPB_ENG_20100804.0014:2737-2842	Belfast	WPB_ENG_20100804.0014:138-144	1.0
CS14_ENG_086_00	gpe:births_in_city	LDC	AFP_ENG_20090827.0185:485-601	Bob Dylan	AFP_ENG_20090827.0185:65-73	1.0
CS14_ENG_086_01	per:religion	LDC	AFP_ENG_20090827.0185:529-618,AFP_ENG_20090827.0185:620-711	Christian	AFP_ENG_20090827.0185:673-681	1.0
CS14_ENG_086_00	gpe:births_in_city	LDC	NYT_ENG_20090711.0024:3543-3631	Bruce Robert Isabell	NYT_ENG_20090711.0024:3543-3562	1.0
CS14_ENG_087_00	per:countries_of_residence	LDC	AFP_ENG_20090811.0630:1642-1791,AFP_ENG_20090811.0630:1793-1833	Canada	AFP_ENG_20090811.0630:1769-1774	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	NYT_ENG_20090914.0156:435-568	Magna	NYT_ENG_20090914.0156:58-62	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	AFP_ENG_20100902.0339:788-932,AFP_ENG_20100902.0339:934-1027	SouthGobi Energy Resources	AFP_ENG_20100902.0339:900-925	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	AFP_ENG_20101013.0345:1028-1172,AFP_ENG_20101013.0345:1174-1233	Ivanhoe Mines	AFP_ENG_20101013.0345:1145-1157	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	APW_ENG_20100602.0720:1706-1808	Couche-Tard	APW_ENG_20100602.0720:71-81	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	AFP_ENG_20091110.0790:367-508,AFP_ENG_20091110.0790:510-534	Research In Motion	AFP_ENG_20091110.0790:178-195	1.0
CS14_ENG_087_01	gpe:headquarters_in_country	LDC	AFP_ENG_20100503.0196:304-451,AFP_ENG_20100503.0196:453-490	Bump Technologies	AFP_ENG_20100503.0196:186-202	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	LTW_ENG_20090607.0031:8254-8295	Peter Gruters	LTW_ENG_20090607.0031:7706-7718	1.0
CS14_ENG_088_01	per:age	LDC	LTW_ENG_20090607.0031:8254-8295	27	LTW_ENG_20090607.0031:8265-8275	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100610.0181:1507-1612	Gary Kompothecras	NYT_ENG_20100610.0181:1542-1558	1.0
CS14_ENG_088_01	per:age	LDC	NYT_ENG_20100610.0181:1507-1612	50	NYT_ENG_20100610.0181:1563-1573	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100930.0215:1212-1343	Joey Gratton	NYT_ENG_20100930.0215:303-314	1.0
CS14_ENG_088_01	per:age	LDC	NYT_ENG_20100930.0215:1212-1226	58	NYT_ENG_20100930.0215:1216-1226	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	eng-NG-31-142268-8693904:25061-25137	Daren Michaels	eng-NG-31-142268-8693904:25079-25092	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20090914.0201:784-932,NYT_ENG_20090914.0201:934-937	Richard Unger	NYT_ENG_20090914.0201:802-814	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20091119.0027:4793-4925	Bob Smith	NYT_ENG_20091119.0027:4848-4856	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	eng-NG-31-127093-9195414:749-836	Steven Tyler Cornell	eng-NG-31-127093-9195414:2491-2510	1.0
CS14_ENG_088_01	per:age	LDC	eng-NG-31-127093-9195414:472-542	22	eng-NG-31-127093-9195414:540-541	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100501.0116:1707-1856	Gary Frings	NYT_ENG_20100501.0116:1707-1717	1.0
CS14_ENG_088_01	per:age	LDC	NYT_ENG_20100501.0116:1707-1763	67	NYT_ENG_20100501.0116:1720-1721	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	bolt-eng-DF-170-181130-93109:19744-19804	Baruch Menachem	bolt-eng-DF-170-181130-93109:18744-18758	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	bolt-eng-DF-170-181103-8893400:14461-14605,bolt-eng-DF-170-181103-8893400:14607-14613	Care4all	bolt-eng-DF-170-181103-8893400:13009-13016	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100321.0127:392-422	Jerry Adler	NYT_ENG_20100321.0127:58-68	1.0
CS14_ENG_088_01	per:age	LDC	NYT_ENG_20100321.0127:392-422	91	NYT_ENG_20100321.0127:99-100	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20091118.0035:375-420	Allen Hughes	NYT_ENG_20091118.0035:58-69	1.0
CS14_ENG_088_01	per:age	LDC	NYT_ENG_20091118.0035:375-420	87	NYT_ENG_20091118.0035:118-119	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	eng-NG-31-103894-11272382:958-1017	Ian Bernard	eng-NG-31-103894-11272382:2017-2027	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100511.0008:3667-3814,NYT_ENG_20100511.0008:3429-3431	Eniel Polynice	NYT_ENG_20100511.0008:3678-3691	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20101030.0121:3902-3983	Louis Delmas	NYT_ENG_20101030.0121:1168-1179	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20100529.0018:3244-3290	Gigi	NYT_ENG_20100529.0018:3255-3258	1.0
CS14_ENG_088_00	gpe:residents_of_city	LDC	NYT_ENG_20090823.0017:7157-7229	Clayton Rosaire	NYT_ENG_20090823.0017:7157-7171	1.0
CS14_ENG_089_00	gpe:births_in_city	LDC	APW_ENG_20100318.1227:3843-3893	Luis Armando Pena Soltren	AFP_ENG_20091013.0154:370-394	1.0
CS14_ENG_089_01	per:charges	LDC	AFP_ENG_20091012.0178:1436-1583	conspiracy to commit air piracy and kidnapping	AFP_ENG_20091012.0178:1465-1510	1.0
CS14_ENG_089_01	per:charges	LDC	AFP_ENG_20091012.0178:1436-1583	interference with flight crew members	AFP_ENG_20091012.0178:1513-1549	1.0
CS14_ENG_089_01	per:charges	LDC	AFP_ENG_20091012.0178:1436-1583	aircraft piracy	AFP_ENG_20091012.0178:1552-1566	1.0
CS14_ENG_089_01	per:charges	LDC	AFP_ENG_20091012.0178:1436-1583	kidnapping	AFP_ENG_20091012.0178:1501-1510	1.0
CS14_ENG_089_00	gpe:births_in_city	LDC	NYT_ENG_20100530.0015:5585-5642,NYT_ENG_20100530.0015:5644-5672	Mark N. Hopkins	NYT_ENG_20100530.0015:1031-1045	1.0
CS14_ENG_090_00	per:cities_of_residence	LDC	APW_ENG_20101007.0810:308-452	London	APW_ENG_20101007.0810:123-128	1.0
CS14_ENG_090_01	gpe:employees_or_members	LDC	APW_ENG_20090608.1191:500-560	Boris Johnson	APW_ENG_20090608.1191:513-525	1.0
